x,y
618.342, 159.002
621.471, 158.697
521.049, 150.714
523.18, 149.653
525.397, 148.205
527.523, 148.649
529.084, 159.119
531.695, 150.868
533.795, 151.609
534.956, 160.743
537.133, 159.171
539.88, 153.832
542.176, 152.481
543.316, 159.182
546.099, 154.561
547.231, 160.48
549.1, 161.194
550.925, 162.27
554.43, 155.947
555.628, 159.946
557.88, 159.543
560.567, 157.27
563.565, 154.65
564.973, 157.276
564.753, 165.126
569.655, 156.651
570.401, 161.1
574.056, 157.142
575.104, 160.384
576.666, 162.208
578.577, 163.19
581.81, 160.862
580.794, 168.735
582.756, 169.335
595.029, 147.789
590.085, 163.481
593.294, 161.851
592.466, 168.365
593.216, 171.453
597.192, 168.596
601.427, 165.436
601.027, 170.579
607.538, 163.791
607.084, 168.823
608.241, 171.178
612.159, 169.18
612.614, 172.57
614.09, 174.295
636.351, 142.257
626.254, 152.366
616.105, 163.163
612.598, 164.337
610.328, 163.574
603.622, 170.321
602.446, 168.141
610.438, 149.467
595.595, 171.518
596.586, 165.088
593.307, 166.724
590.759, 166.967
589.734, 164.212
585.725, 167.88
586.066, 161.929
581.121, 167.976
579.82, 165.656
580.364, 158.716
576.862, 161.698
574.142, 162.991
571.62, 164.025
573.569, 151.754
569.508, 157.104
564.633, 165.515
566.938, 150.61
560.858, 164.295
561.581, 153.455
557.89, 159.503
555.518, 160.412
552.935, 159.63
551.333, 153.344
547.886, 156.739
545.866, 151.927
543.251, 149.557
539.37, 158.767
537.418, 150.088
534.728, 148.002
531.561, 153.458
529.576, 153.189
528.139, 147.748
527.001, 152.29
526.278, 145.123
525.848, 150.126
525.646, 154.698
525.576, 154.998
525.594, 145.54
525.816, 147.177
526.181, 153.887
526.496, 147.912
526.967, 150.242
527.565, 156.036
528.129, 156.179
528.798, 157.207
529.192, 150.332
529.839, 150.555
530.36, 149.166
531.187, 156.289
531.898, 157.288
532.43, 153.005
533.05, 147.187
533.792, 151.034
534.537, 153.253
535.345, 159.409
536.046, 156.868
536.604, 153.614
537.329, 155.089
537.995, 152.767
538.831, 158.366
539.474, 158.273
540.335, 161.709
540.937, 160.059
541.716, 160.451
542.247, 154.701
543.023, 159.545
543.788, 159.417
544.414, 158.67
545.231, 160.481
545.812, 156.593
546.56, 160.36
547.363, 161.699
547.951, 159.529
548.756, 160.88
549.454, 161.375
550.061, 159.882
550.854, 160.82
551.496, 160.653
552.306, 162.244
552.988, 162.086
553.711, 161.896
554.403, 162.117
555.132, 165.143
555.87, 164.091
556.412, 160.213
557.31, 165.061
557.986, 164.701
558.636, 164.752
559.345, 162.619
560.078, 165.775
560.804, 164.312
561.477, 165.209
562.092, 162.618
562.861, 162.721
563.603, 166.155
564.277, 162.778
565.081, 167.194
565.76, 168.259
566.369, 162.47
567.117, 166.167
567.875, 165.888
568.595, 168.494
569.255, 164.625
569.975, 165.913
570.672, 167.652
571.45, 168.145
572.144, 169.786
572.832, 166.953
573.547, 168.061
574.132, 165.663
574.988, 169.063
575.666, 170.057
576.455, 171.019
577.105, 169.69
577.719, 168.35
578.639, 174.136
579.18, 170.072
580.102, 175.983
580.602, 169.041
581.23, 168.214
582.073, 171.149
582.858, 176.063
583.453, 169.902
584.039, 167.514
584.899, 171.063
585.579, 170.859
586.214, 170.286
586.914, 167.924
587.758, 175.045
588.505, 174.504
589.193, 174.593
589.893, 176.313
590.618, 174.997
591.254, 174.359
592.018, 174.466
592.654, 172.607
593.295, 172.217
593.803, 162.731
594.351, 159.049
594.996, 154.454
595.316, 142.549
595.967, 141.296
596.36, 127.045
597.111, 131.371
597.598, 120.474
598.314, 121.624
598.214, 90.7307
598.939, 92.1764
599.688, 96.9412
600.974, 115.336
602.242, 92.8644
596.717, 125.634
596.256, 143.651
592.807, 134.164
591.376, 140.596
591.18, 155.136
589.936, 160.013
588.399, 162.996
588.083, 171.805
586.785, 174.461
584.838, 174.359
582.357, 171.517
581.048, 174.29
578.524, 171.688
576.747, 172.423
574.927, 172.832
571.942, 169.278
569.461, 168.076
568.304, 170.643
565.261, 167.973
562.964, 167.286
561.903, 169.983
556.851, 162.692
557.523, 169.709
552.48, 163.098
550.06, 162.676
548.31, 164.015
543.399, 158.526
544.105, 164.871
540.162, 161.94
537.895, 162.191
533.965, 159.688
531.919, 160.514
527.899, 158.095
521.603, 151.963
525.19, 162.373
513.472, 148.159
521.961, 165.795
509.558, 151.408
492.196, 135.459
506.424, 159.837
499.135, 154.044
487.885, 143.746
483.306, 142.285
485.33, 149.404
475.465, 141.709
472.222, 142.414
476.733, 160.118
594.45, 106.54
594.044, 126.968
589.379, 109.729
590.666, 138.281
585.559, 120.298
587.478, 147.193
586.866, 156.295
585.811, 161.669
585.453, 169.541
584.215, 172.996
583.127, 176.234
