x,y
1363.14, 1405.65
1360.59, 1413.77
1354.48, 1438.31
1353.2, 1424
1349.58, 1432.29
1345.4, 1448.42
1342.47, 1436.01
1339.62, 1420.48
1334.09, 1440.48
1328.84, 1446.9
1320.26, 1448.48
1320.69, 1475.3
1327.05, 1469.55
1329.87, 1450.54
1331.57, 1432.15
1339.64, 1440.2
1341.23, 1429.69
1348.53, 1437.66
1345.75, 1420.02
1350.76, 1423.61
1358.7, 1433.75
1354.57, 1418.01
1357.58, 1418.47
1360.04, 1418.05
1361.21, 1415.38
1362.84, 1413.91
1361.86, 1408.19
1363.37, 1407.03
1363.36, 1403.61
1365.75, 1404.24
1369.1, 1406.23
1372.11, 1407.47
1369.91, 1401.46
1368.74, 1397.31
1370.16, 1396.74
1370.83, 1395.25
1370.99, 1393.1
1372.22, 1392.4
1373.34, 1391.57
1374.21, 1390.39
1375.2, 1389.43
1375.01, 1387.12
1375.1, 1385.25
1377.65, 1386.02
1376.23, 1382.75
1377.74, 1382.65
1376.73, 1380.47
1377.52, 1379.98
1377.82, 1378.78
1378.32, 1378.23
1379.6, 1378.1
1380.7, 1377.74
1378.31, 1374.4
1380.35, 1375.08
1379.85, 1373.31
1381.46, 1373.59
1379.4, 1376.19
1378.48, 1379.71
1374.98, 1380.87
1373.59, 1383.96
1371.81, 1386.71
1369.73, 1389.18
1368.2, 1392.21
1365.04, 1393.37
1362.63, 1395.39
1361.43, 1398.94
1360.11, 1402.4
1356.65, 1403.09
1355.69, 1407.25
1353.08, 1409.01
1351.54, 1412.64
1350.14, 1416.48
1348.24, 1419.79
1344.92, 1420.49
1344, 1425.88
1341.5, 1428.28
1338.59, 1430.17
1336.21, 1433.18
1335.17, 1439.43
1332.46, 1442.18
1328.4, 1441.19
1327.49, 1449.36
1324.67, 1452.26
1322.04, 1456.35
1319.91, 1471.14
1312.82, 1468
1307.6, 1473.24
1302.52, 1481.86
1299.84, 1489.87
1295.72, 1477.71
1292.95, 1492.56
1284.63, 1481.55
1292.66, 1494.45
1290.58, 1491.19
1292.77, 1495.85
1296.28, 1495.7
1298.49, 1489.77
1301.18, 1484.93
1302.84, 1478.94
1306.05, 1475.21
1308.88, 1471.1
1309.47, 1465.05
1316.84, 1465.24
1315.87, 1458.18
1320.23, 1455.58
1318.32, 1448.48
1327.03, 1448.63
1325.35, 1447.25
1325.95, 1447.26
1326.67, 1447.34
1324.8, 1446.3
1325.54, 1447.64
1324.64, 1448.55
1322.6, 1449.09
1322.64, 1451.28
1318.42, 1451.06
1318.61, 1454.13
1318.03, 1456.84
1316.26, 1458.9
1313, 1459.82
1311.12, 1461.82
1309.6, 1464.19
1307.97, 1466.43
1307.08, 1469.43
1303.3, 1469.86
1303.19, 1473.7
1301.45, 1475.96
1300.11, 1478.7
1296.57, 1479.02
1294.2, 1480.54
1293.34, 1483.96
1290.24, 1484.59
1290.83, 1489.81
