x,y
368.14, 51.0493
379.522, 38.2585
385.532, 36.7775
361.167, 28.0833
390.833, 27.2642
374.67, 23.087
386.618, 26.0741
389.586, 28.1502
382.995, 29.0179
366.389, 28.2988
377.609, 31.5014
385.852, 36.0499
390.506, 38.5622
388.619, 39.9722
377.019, 41.0746
391.271, 47.3289
365.093, 43.2819
387.794, 49.9838
381.076, 50.2108
373.838, 51.663
386.102, 56.5499
370.063, 53.912
392.157, 61.6732
394.33, 65.9546
382.038, 63.9201
373.402, 64.5909
390.688, 71.9618
376.141, 68.8015
382.705, 72.7377
394.734, 78.861
391.756, 79.7468
394.957, 82.7455
362.236, 76.7177
381.895, 86.743
386.188, 90.3581
377.476, 88.3653
387.918, 94.9322
372.787, -25.8868
389.576, -22.278
386.206, -15.3431
386.178, -8.87817
377.85, -1.94955
395.12, 3.69939
379.903, 10.2045
395.196, 16.9181
394.294, 23.5174
376.875, 28.3845
381.717, 35.0985
400.71, 44.6985
391.106, 49.6616
390.811, 56.3817
368.881, 57.3405
400.983, 73.3435
375.298, 72.0187
365.263, 74.8274
364.532, 81.0124
394.701, 101.419
380.877, -37.8931
381.778, -35.3622
374.856, -30.4609
407.645, -36.6476
363.572, -22.0218
377.708, -22.7336
390.774, -22.9621
365.321, -14.3384
401.247, -19.1295
375.584, -10.9855
385.204, -10.0822
400.799, -9.8952
395.213, -6.02406
392.39, -2.65112
372.803, 2.9892
367.443, 6.20634
370.006, 8.50257
388.182, 9.14219
369.4, 13.7463
370.482, 16.2572
378.805, 18.1232
371.775, 21.2539
372.69, 23.6855
382.87, 25.7621
370.817, 28.8454
391.437, 30.8344
372.015, 33.8056
372.368, 36.1418
372.987, 38.6743
390.228, 41.4766
377.653, 43.5705
372.045, 45.9071
379.134, 48.6329
373.904, 50.7594
389.003, 54.3978
379.884, 56.0976
417.683, 57.0036
395.181, 53.3206
371.643, 50.2393
381.322, 48.7675
410.064, 47.2877
364.88, 45.0106
383.411, 43.0957
372.214, 41.5065
380.235, 39.409
368.666, 38.2017
393.967, 34.6851
374.326, 34.2981
370.303, 32.9954
367.096, 31.7537
378.001, 28.7522
385.328, 25.9982
375.339, 25.5726
375.472, 23.7076
370.93, 22.786
383.981, 18.5436
364.444, 20.7992
377.807, 16.1874
396.387, 9.76525
390.996, 9.02931
367.322, 13.4457
365.703, 12.0987
365.965, 10.3135
391.956, 0.429702
370.043, 5.40006
384.167, -1.37137
392.665, -6.51257
363.493, 2.37409
389.221, -9.81751
375.168, -6.34243
361.769, -2.60658
396.001, -19.4545
401.009, -23.6566
374.384, -13.1292
388.824, -21.6139
358.262, -8.18491
362.37, -11.8406
378.871, -21.9377
