x,y
1299.02, 1503.49
1295.72, 1477.71
1295.81, 1505.11
1292.95, 1492.56
1292.12, 1508.19
1289.26, 1494.14
1288.41, 1519.2
1289.6, 1528.17
1288.41, 1502.52
1290.28, 1519.61
1290.09, 1510.93
1289.42, 1502.09
1288.98, 1518.79
1284.63, 1481.55
1283.27, 1493.55
1280.87, 1493.17
1278.63, 1508.4
1274.77, 1504.17
1292.75, 1496.89
1295.73, 1500.43
1292.66, 1494.45
1290.58, 1491.19
1292.77, 1495.85
1298.42, 1506.66
1296.28, 1495.7
1298.49, 1489.77
1301.18, 1484.93
1302.84, 1478.94
1306.05, 1475.21
1308.88, 1471.1
1309.47, 1465.05
1316.84, 1465.24
1315.87, 1458.18
1320.23, 1455.58
1318.32, 1448.48
1327.03, 1448.63
1325.35, 1447.25
1325.95, 1447.26
1326.67, 1447.34
1324.8, 1446.3
1325.54, 1447.64
1324.64, 1448.55
1322.6, 1449.09
1322.64, 1451.28
1318.42, 1451.06
1318.61, 1454.13
1318.03, 1456.84
1316.26, 1458.9
1313, 1459.82
1311.12, 1461.82
1309.6, 1464.19
1307.97, 1466.43
1307.08, 1469.43
1303.3, 1469.86
1303.19, 1473.7
1301.45, 1475.96
1300.11, 1478.7
1296.57, 1479.02
1294.2, 1480.54
1293.34, 1483.96
1290.24, 1484.59
1290.83, 1489.81
