x,y
529.126, -26.2374
517.284, -36.85
509.677, -17.7143
509.897, -41.3003
507.826, -41.5093
501.895, -42.3022
499.215, -35.9654
494.054, 1.51772
495.481, -40.3193
493.769, -41.2272
491.432, -34.8103
489.786, -40.3947
487.439, -27.1537
491.047, -45.3923
493.077, -21.2915
499.149, -30.0392
503.685, -17.6072
507.066, -23.6398
518.867, -45.8402
520.514, -36.617
524.349, -39.9076
526.686, -26.9698
528.918, -17.7255
531.619, -12.8133
541.196, -35.8754
422.722, 14.4425
415.981, -6.26999
420.224, -3.56571
415.989, -20.3584
413.675, -33.5391
426.513, -10.5601
430.861, -32.8133
430.036, -44.951
443.145, -25.2391
439.295, -48.0388
442.84, -48.1346
449.425, -36.6095
452.388, -37.7321
457.588, -30.0491
462.467, -21.9199
458.474, -53.0571
468.375, -22.1469
467.471, -40.9501
469.483, -46.8755
481.246, -15.1131
484.036, -14.2228
483.942, -34.5984
489.161, -17.05
490.41, -29.9275
495.094, -12.8609
495.735, -34.5303
499.353, -26.9315
501.002, -42.5072
503.922, -44.8188
507.71, -33.652
510.925, -23.7798
513.527, -26.8727
516.639, -12.8009
519.101, -46.9893
521.879, -21.4208
525.208, -44.5338
527.398, -21.8253
529.845, -12.468
532.721, -18.1728
535.67, -22.2514
540.668, -51.4263
542.616, -61.9597
539.899, -62.4022
536.868, -52.4033
533.198, -11.5532
532.075, -37.1339
529.969, -11.0986
527.849, -52.0865
526.441, -20.7724
523.643, -48.6706
522.424, -28.3871
521.825, -7.43747
518.734, -27.034
518.151, -13.2427
514.208, -33.5204
514.708, -13.1906
513.53, -9.785
504.098, -60.079
505.917, -33.4152
500.876, -49.7715
498.874, -48.872
499.015, -37.4369
504.226, -4.2532
492.271, -47.2961
493.57, -33.2147
497.697, -10.2391
491.157, -25.9827
485.032, -38.8832
483.526, -36.3169
488.523, -14.4634
489.63, -5.58609
473.937, -44.0771
472.533, -41.99
473.402, -34.941
475.602, -21.1426
466.14, -38.989
471.119, -19.7947
463.496, -32.4582
456.666, -42.5836
457.363, -29.7044
453.215, -23.3272
446.638, -31.0438
439.346, -25.9381
435.673, -35.3685
449.631, -23.2228
455.462, -21.242
450.576, -33.7113
471.849, -9.37132
473.054, -13.2612
466.506, -28.8485
473.726, -23.8053
485.558, -10.943
487.071, -14.3361
492.54, -10.8285
495.941, -11.058
496.91, -15.7881
503.706, -9.20924
505.354, -12.3624
504.951, -19.6469
511.43, -13.3812
517.188, -7.79518
520.076, -8.16273
520.783, -13.3372
521.345, -18.8345
519.084, -31.3295
521.9, -31.8053
518.702, -48.231
520.632, -51.1244
523.883, -60.9484
523.727, -71.1028
525.602, -76.4873
