x,y
383.798, -38.1424
389.289, -10.4095
392.819, 29.223
376.148, 91.4732
357.3, 97.3222
353.609, 98.1853
369.707, 92.1781
361.941, 93.9986
364.341, 90.9868
372.999, 86.0527
358.741, 92.0441
358.733, 92.0087
371.941, 84.5689
337.098, 102.153
358.33, 91.4607
356.931, 91.977
371.145, 83.9611
359.561, 89.9295
359.374, 89.671
338.342, 101.204
345.3, 96.8747
341.922, 98.9694
326.858, 108.244
329.325, 106.952
321.581, 111.97
323.331, 111.297
328.767, 105.594
323.559, 111.63
326.993, 107.099
325.498, 110.636
321.753, 110.975
328.33, 109.124
325.291, 109.003
335.576, 104.666
326.917, 108.24
328.197, 110.063
324.974, 110.061
329.456, 109.546
325.353, 110.219
323.889, 113.816
324.16, 111.448
327.086, 112.065
341.003, 99.7652
331.36, 109.443
323.784, 112.663
328.149, 112.202
330.183, 108.351
331.632, 109.91
325.911, 111.911
328.563, 112.687
319.967, 116.94
325.797, 115.126
324.406, 114.011
338.304, 106.103
337.185, 104.429
337.861, 106.842
326.511, 113.273
329.038, 113.982
328.409, 112.206
332.322, 111.952
324.965, 115.374
325.45, 117.655
329.192, 112.322
323.487, 119.657
325.372, 115.873
323.697, 119.932
327.575, 114.5
344.411, 103.343
329.491, 113.389
331.15, 114.954
327.796, 115.409
327.783, 118.176
331.342, 112.796
328.11, 118.432
328.85, 115.482
331.305, 116.271
328.464, 116.293
330.288, 117.435
324.503, 120.275
332.523, 116.046
327.371, 118.125
326.719, 121.51
325.454, 120.331
328.159, 120.661
325.67, 120.475
326.298, 122.699
329.151, 117.648
329.928, 119.795
330.649, 116.521
330.963, 119.136
327.187, 120.178
331.72, 118.658
326.849, 120.974
327.717, 123.009
331.565, 116.754
329.258, 121.978
330.051, 118.7
326.587, 125.204
330.127, 119.132
334.94, 117.219
335.52, 114.019
330.152, 122.541
326.791, 123.52
324.813, 128.605
322.297, 128.773
325.312, 128.51
331.524, 119.342
336.116, 117.57
326.899, 124.683
330.141, 124.217
327.786, 124.103
332.456, 122.018
332.054, 119.671
333.926, 120.749
329.179, 123.248
331.273, 124.013
327.123, 125.978
333.508, 121.8
328.61, 124.8
328.284, 128.281
328.231, 125.774
328.087, 129.06
324.234, 131.064
330.239, 127.113
331.933, 122.489
333.286, 124.056
334.97, 119.301
333.162, 124.91
335.163, 119.743
330.439, 128.712
334.385, 121.323
333.636, 125.706
331.759, 125.329
331.889, 128.59
333.912, 123.343
329.366, 132.363
330.077, 128.794
339.634, 119.999
330.146, 129.29
332.917, 129.045
333.939, 124.952
334.898, 127.048
329.07, 132.135
328.047, 136.914
336.244, 123.296
331.71, 132.938
329.913, 132.469
334.893, 129.149
331.308, 131.178
336.044, 128.161
333.616, 128.422
333.451, 132.15
332.623, 130.281
333.694, 132.286
332.085, 131.53
332.988, 133.548
334.243, 128.79
330.29, 138.07
334.067, 129.739
336.447, 129.897
333.976, 130.502
335.034, 132.582
336.084, 127.933
331.651, 138.274
334.992, 130.225
331.534, 139.174
334.082, 132.29
332.718, 138.098
336.776, 128.777
335.802, 134.111
336.28, 130.201
333.415, 138.544
333.689, 135.068
335.071, 136.644
336.796, 130.668
336.356, 135.288
333.169, 137.476
334.264, 139.496
333.495, 137.526
336.691, 135.995
333.498, 138.294
334.649, 140.24
333.591, 138.92
334.928, 140.553
334.184, 138.675
337.411, 137.052
335.663, 136.828
335.714, 140.79
334.403, 139.986
335.745, 141.628
335.108, 139.523
336.724, 140.693
334.703, 140.941
335.63, 143.354
333.864, 143.229
334.559, 145.972
334.206, 143.476
335.904, 144.348
333.879, 145.036
336.324, 144.528
335.52, 142.721
336.837, 144.442
335.428, 143.831
338.074, 142.917
335.504, 144.71
337.5, 145.059
336.911, 142.753
338.337, 144.302
336.303, 144.988
336.908, 148.201
335.737, 147.013
336.783, 149.294
336.572, 146.032
336.09, 146.039
334.14, 141.884
335.598, 139.616
332.609, 139.516
333.498, 140.206
331.549, 138.847
332.051, 141.374
330.204, 140.508
331.789, 140.947
331.114, 137.305
332.594, 138.466
331.642, 136.065
331.52, 142.114
331.026, 138.473
331.422, 143.433
331.054, 139.398
332.247, 142.046
330.903, 140.926
332.393, 142.67
332.295, 142.42
332.867, 139.669
332.821, 140.959
333.394, 142.019
333.466, 146.022
334.226, 148.8
336.352, 148.447
338.483, 148.37
338.238, 155.669
339.267, 158.881
339.664, 163.824
342.071, 163.3
341.095, 160.373
340.272, 156.967
337.797, 158.282
335.383, 160.012
336.607, 149.976
333.778, 153.394
334.354, 144.312
332.251, 145.342
331.306, 141.51
329.363, 141.854
328.971, 134.235
326.266, 138.672
324.791, 136.066
323.412, 132.794
322.415, 125.568
320.18, 127.412
318.404, 125.357
316.603, 122.772
315.498, 107.093
313.523, 99.1928
311.236, 96.0929
308.8, 100.455
306.528, 112.188
303.631, 83.6267
302.028, 108.517
298.641, 88.6693
296.13, 89.8147
294.944, 104.318
292.004, 98.9067
286.408, 73.4329
414.304, 148.118
422.694, 133.395
415.195, 146.844
423.67, 138.009
420.056, 145.671
290.406, 97.6413
292.643, 99.4655
295.354, 106.668
296.679, 102.37
296.365, 82.0303
298.511, 83.9981
301.298, 92.7697
305.157, 116.381
305.571, 99.4022
307.452, 99.7177
309.617, 105.931
311.945, 116.356
313.212, 118.619
314.105, 123.022
314.155, 118.676
314.564, 126.612
313.97, 120.529
313.5, 120.559
313.046, 123.409
311.715, 114.927
310.836, 115.532
306.845, 83.6618
309.32, 120.055
305.723, 98.0053
306.654, 115.594
302.182, 92.0882
304.503, 116.885
300.028, 95.9146
298.176, 97.2187
298.876, 114.335
292.674, 93.1921
293.086, 102.237
429.813, 132.309
290.603, 95.2251
429.667, 130.655
285.732, 78.6083
286.53, 87.0627
421.012, 140.752
282.16, 74.8864
418.531, 142.806
283.849, 86.9099
414.867, 146.86
282.129, 85.3064
418.009, 139.304
282.987, 92.8605
412.506, 147.005
408.766, 151.584
407.942, 151.176
405.992, 152.694
404.303, 153.968
403.715, 152.935
401.888, 154.564
399.035, 158.568
396.674, 161.661
403.104, 153.703
407.121, 151.219
412.22, 146.861
290.152, 102.695
417.907, 141.83
293.396, 101.825
419.409, 144.79
297.539, 104.217
429.511, 132.465
306.985, 126.354
310.828, 128.396
316.426, 139.442
314.237, 133.674
315.395, 138.121
316.097, 138.696
317.829, 141.115
319.996, 144.702
320.906, 141.509
323.824, 150.265
324.357, 145.699
326.572, 149.739
327.864, 148.217
330.03, 150.469
331.739, 149.783
333.731, 150.301
335.578, 148.84
338.077, 151.476
339.926, 149.424
342.358, 151.558
344.685, 153.242
346.699, 151.486
348.838, 150.732
351.315, 153.929
353.326, 151.454
355.579, 152.633
357.802, 151.245
360.008, 151.827
362.259, 154.548
364.412, 155.992
366.593, 153.713
368.643, 155.536
370.751, 153.413
372.803, 156.002
374.992, 155.065
376.978, 156.468
379.16, 155.906
381.138, 157.005
383.15, 157.566
384.946, 159.335
386.966, 159.377
388.842, 159.993
390.699, 161.353
392.623, 161.519
394.399, 162.584
396.239, 163.345
397.991, 164.015
399.62, 165.608
401.506, 165.534
403.151, 166.903
404.791, 167.907
406.195, 169.724
407.954, 170.122
409.484, 171.395
410.948, 172.499
412.421, 173.854
413.882, 175.103
415.37, 176.068
416.796, 177.122
418.441, 177.546
419.206, 180.504
420.629, 181.173
420.355, 179.149
419.991, 177.233
419.041, 177.014
418.306, 176.046
417.742, 174.441
416.957, 173.448
416.057, 172.952
415.35, 171.422
414.611, 169.974
413.583, 169.721
412.738, 168.545
411.875, 167.737
410.901, 166.902
410.166, 164.794
409.2, 164.212
408.272, 163.109
407.185, 163.52
406.293, 161.416
405.2, 161.795
404.223, 159.787
403.112, 160.464
402.045, 159.606
401.025, 158.328
402.387, 157.772
403.703, 160.375
404.978, 161.866
406.398, 159.14
407.61, 162.529
408.881, 163.08
410.149, 164.013
411.396, 164.647
412.625, 165.783
413.894, 166.208
415.119, 166.782
416.423, 166.735
417.496, 167.757
418.355, 168.188
418.833, 169.643
418.874, 172.327
418.873, 173.327
418.754, 174.466
418.549, 175.454
418.472, 174.561
417.951, 177.286
417.714, 177.126
417.244, 177.949
416.896, 178.383
416.468, 178.868
416.065, 178.037
415.62, 179.99
415.15, 178.777
414.795, 180.317
414.329, 180.763
413.95, 181.755
413.53, 181.081
413.159, 181.726
412.725, 182.167
412.448, 183.546
413.425, 200.715
411.754, 183.313
411.075, 183.901
410.831, 184.848
410.417, 184.341
411.126, 191.906
409.624, 183.239
411.165, 195.033
409.058, 183.751
411.282, 184.288
414.856, 194.223
416.118, 188.582
419.463, 199.913
420.654, 192.765
422.701, 193.02
423.957, 182.189
428.355, 185.759
433.285, 190.613
427.488, 190.257
428.003, 194.54
426.749, 196.039
427.791, 198.412
393.14, 189.548
410.737, 197.22
406.851, 198.315
383.449, 194.424
405.667, 202.475
403.332, 204.204
375.674, 200.426
423.555, 205.415
425.026, 202.098
400.547, 191.853
432.203, 196.846
434.288, 193.856
