x,y
898.629, 1174.97
908.195, 1183.2
906.376, 1185.43
875.592, 1171.54
874.065, 1173.48
897.233, 1190.03
896.36, 1192.91
899.565, 1198.2
898.337, 1200.89
892.776, 1200.66
887.231, 1210.77
885.755, 1220.58
874.657, 1197.94
882.738, 1197.22
880.759, 1192.61
887.526, 1193.85
901.346, 1199.32
890.656, 1189.41
896.412, 1189.54
900.385, 1188.68
890.61, 1179.95
899.778, 1181.85
877.078, 1164.02
869.61, 1157.73
877.144, 1158.69
892.52, 1163.19
875.226, 1152.7
888.761, 1155.92
901.178, 1158.39
876.048, 1145.47
883.817, 1146.03
894.548, 1147.3
899.613, 1146.46
887.451, 1139.64
883.463, 1135.8
887.508, 1134.65
879.092, 1129.62
890.283, 1130.42
887.951, 1127.32
905.325, 1129.16
902.704, 1125.87
889.272, 1120.27
897.904, 1119.69
883.223, 1114.26
910.282, 1116.84
879.467, 1109.09
893.931, 1109.01
894.625, 1106.69
889.867, 1103.65
902.612, 1102.76
890.837, 1099.02
902.986, 1097.74
887.921, 1094.17
883.658, 1091.6
886.918, 1089.5
918.047, 1088.11
904.003, 1085.25
883.543, 1082.59
920.585, 1080.03
882.875, 1078.19
910.552, 1074.91
884.057, 1073.7
902.154, 1070.21
891.534, 1068.6
900.426, 1065.34
895.318, 1063.45
886.149, 1062.11
910.497, 1056.58
926.601, 1051.67
897.608, 1053.3
882.371, 1053.49
882.959, 1051.01
904.836, 1044.38
901.533, 1042.46
902.502, 1039.61
905.119, 1036.42
879.676, 1035.54
898.012, 1030.46
887.96, 1037.43
903.36, 1037.17
897.529, 1042.65
912.097, 1043.31
890.512, 1051.8
898.029, 1054.19
926.28, 1053.51
897.391, 1061.92
897.337, 1065.67
892.066, 1069.9
893.288, 1073.36
902.923, 1076.41
895.975, 1080.5
888.685, 1084.25
885.157, 1087.77
895.05, 1091.4
889.264, 1094.67
890.636, 1098.29
882.872, 1101.16
886.226, 1104.92
890.195, 1108.85
889.919, 1112.39
886.731, 1115.33
879.727, 1117.53
895.879, 1124.28
891.284, 1126.97
884.701, 1129.05
896.667, 1135.84
885.865, 1136.59
888.236, 1140.9
884.475, 1143.39
893.556, 1150.39
887.437, 1152.03
883.575, 1154.4
887.188, 1159.78
909.324, 1173.64
883.186, 1165.89
880.705, 1168.68
879.503, 1172.15
895.64, 1185.13
896.507, 1190.3
884.229, 1187.51
888.024, 1194.15
904.476, 1208.71
882.913, 1193.03
875.416, 1187.18
885.914, 1192.95
875.648, 1186.23
870.46, 1182.97
893.482, 1196.9
875.548, 1187.73
889.28, 1197.8
884.113, 1197.25
884.193, 1200.65
890.414, 1208.58
872.713, 1199.5
871.514, 1202.34
891.364, 1221.27
869.656, 1206.1
896.353, 1225.63
896.851, 1224.98
871.707, 1206.16
903.248, 1228.68
870.494, 1204.79
872.416, 1205.87
889.589, 1217.96
885.755, 1215.98
880.955, 1213.8
881.652, 1216.07
891.809, 1225.56
892.913, 1228.46
875.177, 1216.93
874.491, 1208.77
872.928, 1205.88
879.805, 1206.69
877.226, 1203.38
878.11, 1201.53
875.237, 1198.22
878.079, 1197.25
876.108, 1194.31
875.275, 1191.99
875.535, 1190
874.034, 1187.49
873.836, 1185.4
875.21, 1183.83
873.639, 1181.46
876.142, 1180.11
876.402, 1178.26
879.062, 1176.91
875.894, 1174.23
873.707, 1171.82
874.992, 1170.19
874.254, 1168.21
876.559, 1166.65
875.057, 1164.58
876.679, 1162.91
876.293, 1160.98
877.316, 1159.2
879.51, 1157.54
878.249, 1155.58
876.632, 1153.51
874.935, 1151.6
879.191, 1149.93
877.514, 1148
872.415, 1146.02
880.629, 1144.27
880.041, 1142.42
875.332, 1140.56
878.694, 1138.65
876.927, 1136.83
880.404, 1134.76
883.324, 1132.68
877.752, 1131.15
880.305, 1129.05
880.655, 1127.02
882.831, 1124.86
877.316, 1123.65
878.688, 1121.54
879.494, 1119.52
879.793, 1117.45
878.705, 1115.75
881.305, 1113.22
882.02, 1111.06
882.644, 1108.86
878.243, 1107.93
887.939, 1103.38
881.688, 1102.92
887.601, 1099.14
879.501, 1099.45
880.507, 1097.05
881.792, 1094.47
885.54, 1090.99
889.701, 1087.27
878.127, 1089.35
884.479, 1084.69
880.173, 1084.17
885.189, 1079.76
885.923, 1077.06
887.573, 1073.9
890.722, 1070.01
885.644, 1069.92
895.277, 1062.54
886.515, 1064.5
893.557, 1058.07
884.791, 1060.29
886.591, 1056.63
882.356, 1056.57
898.26, 1043.94
899.631, 1040.14
891, 1042.73
873.641, 1048.85
876.928, 1043.78
875.876, 1038.81
870.385, 1042.98
880.317, 1047.02
890.58, 1043.01
882.043, 1054.02
895.172, 1048.84
890.325, 1054.44
916.704, 1042.19
892.583, 1058.61
887.34, 1064.06
897.852, 1061.22
891.572, 1066.96
881.465, 1074.46
887.661, 1073.86
881.897, 1078.87
880.685, 1081.72
885.079, 1082.13
879.336, 1086.76
880.095, 1088.59
876.725, 1092.08
885.78, 1090.9
882.166, 1094.34
883.913, 1095.94
879.87, 1099.34
878.477, 1101.85
885.666, 1101.8
880.639, 1105.34
890.44, 1104.83
880.109, 1109.47
882.425, 1110.97
880.133, 1113.47
882.447, 1115.01
879.337, 1117.54
879.352, 1119.55
878.781, 1121.53
879.651, 1123.32
880.454, 1125.17
879.587, 1127.15
879.35, 1129.15
874.006, 1131.48
876.677, 1133.18
874.132, 1135.15
878.317, 1136.76
874.457, 1138.8
875.809, 1140.54
874.429, 1142.46
879.445, 1144.26
878.966, 1146.13
877.747, 1148
875.182, 1149.75
878.78, 1151.82
880.455, 1153.78
877.401, 1155.5
877.002, 1157.29
876.363, 1159.09
876.946, 1161.06
874.176, 1162.56
875.103, 1164.58
877.058, 1166.74
879.356, 1169.13
876.795, 1170.54
873.037, 1171.68
875.996, 1174.25
875.346, 1176.03
877.98, 1178.66
875.156, 1179.85
876.212, 1182.18
876.017, 1184.07
874.256, 1185.53
875.985, 1188.12
875.174, 1189.88
876.409, 1192.39
874.855, 1193.85
875.331, 1196.19
874.337, 1197.86
874.532, 1200.05
875.092, 1202.47
878.013, 1205.89
876.412, 1207.49
882.296, 1212.49
963.437, 1190.61
926.795, 1194.38
961.893, 1185.24
918.244, 1191.48
904.302, 1192.35
898.376, 1191.75
889.778, 1191.9
879.633, 1192.72
874.607, 1192.36
868.744, 1192.41
862.163, 1192.81
857.658, 1192.75
858.448, 1191.06
858.961, 1189.36
858.694, 1187.95
858.576, 1186.45
858.753, 1184.84
859.755, 1182.85
860.264, 1181.08
860.96, 1179.16
860.6, 1177.65
861.587, 1175.52
861.873, 1173.65
862.066, 1171.84
862.652, 1169.82
863.197, 1167.7
862.96, 1166.02
862.842, 1164.21
863.457, 1161.97
864.755, 1159.23
862.957, 1158.4
864.709, 1155.34
865.444, 1152.77
867.657, 1149.15
865.308, 1148.62
867.332, 1144.97
866.785, 1143.1
868.338, 1139.61
867.31, 1138.12
869.597, 1133.82
869.538, 1131.37
871.624, 1126.98
870.689, 1125.14
872.435, 1120.81
872.399, 1118.03
871.895, 1115.69
865.369, 1119.15
870.19, 1111.41
873.263, 1105.1
869.491, 1105.9
901.695, 1067.22
880.109, 1087.32
867.468, 1098.33
880.787, 1078.95
889.913, 1063.75
884.767, 1065.73
877.464, 1070.75
873.534, 1071.61
884.892, 1051.73
875.383, 1055.51
872.345, 1050.07
873.179, 1053.87
883.229, 1044.15
866.788, 1072.39
877.031, 1062.49
881.816, 1065.11
883.076, 1067.86
883.791, 1071.25
884.706, 1074.27
871.651, 1093.48
875.949, 1092.02
883.119, 1087.65
872.506, 1102.67
874.107, 1104.22
866.455, 1115.2
870.332, 1114.25
871.451, 1116.12
871.163, 1119.18
874.236, 1119.16
869.794, 1125.94
870.516, 1127.93
869.233, 1131.63
868.514, 1134.7
863.561, 1141.11
867.856, 1139.99
866.329, 1143.44
863.748, 1147.6
864.035, 1149.53
866.381, 1150.04
