x,y
598.914, 163.599
596.619, 161.854
573.33, 175.875
571.459, 174.172
594.244, 152.877
583.706, 150.521
573.452, 155.996
561.109, 163.693
550.847, 169.923
554.994, 162.765
546.778, 167.487
551.635, 159.408
541.951, 165.933
553.658, 150.202
554.212, 145.883
543.649, 153.935
543.844, 150.08
556.075, 131.692
549.474, 135.609
536.499, 147.616
538.675, 141.012
524.236, 156.135
530.757, 143.462
522.023, 151.667
518.752, 152.46
513.506, 156.461
515.768, 149.157
514.907, 146.362
512.147, 146.618
508.075, 149.105
505.369, 149.513
504.507, 146.662
503.084, 144.899
499.906, 146.313
497.685, 145.943
496.272, 144.04
489.97, 152.277
491.852, 143.423
489.347, 143.805
488.714, 140.104
484.375, 145.051
483.031, 142.811
482.114, 139.418
477.212, 146.613
476.543, 142.505
473.461, 145.185
472.579, 141.567
469.927, 143.282
470.786, 133.084
467.747, 136.052
464.155, 141.392
463.084, 137.586
460.314, 140.08
458.638, 138.569
456.168, 140.519
454.531, 138.33
452.408, 138.749
450.882, 135.496
448.746, 136.258
446.658, 135.976
444.388, 138.159
442.726, 135.028
440.626, 135.277
438.478, 136.605
436.371, 137.494
434.582, 134.627
432.48, 136.184
430.417, 136.927
428.512, 131.322
426.408, 131.366
424.364, 134.236
422.247, 132.017
420.147, 129.769
418.311, 135.022
416.268, 135.289
414.47, 138.307
411.764, 130.759
409.407, 128.285
407.225, 128.188
405.125, 128.17
402.755, 126.684
400.838, 128.57
399.156, 131.4
396.4, 128.238
395.301, 133.723
391.264, 124.928
390.137, 129.698
387.076, 126.174
386.53, 123.914
392.43, 130.39
393.147, 122.931
396.769, 130.225
398.516, 127.671
400.768, 128.131
402.59, 125.542
405.566, 131.548
407.129, 127.37
409.524, 129.414
411.233, 124.877
414.353, 136.788
415.632, 125.257
418.224, 133.272
420.256, 132.758
422.36, 136.841
424.285, 126.3
426.417, 128.738
428.559, 128.488
430.459, 135.532
432.42, 137.553
434.388, 138.027
436.437, 136.56
438.742, 133.455
440.822, 133.261
442.442, 137.598
444.255, 139.233
446.568, 136.631
449.125, 133.763
450.244, 139.364
452.276, 139.487
454.388, 139.072
457.069, 136.16
458.144, 140.806
460.032, 141.284
462.246, 140.953
464.044, 141.816
467.289, 137.705
469.543, 137.343
469.383, 145.057
472.534, 141.709
473.541, 144.948
478.138, 137.953
480.368, 137.98
480.676, 143.193
484.149, 139.992
483.01, 148.364
487.261, 143.501
490.555, 141.081
493.628, 139.555
369.709, 128.944
494.244, 143.292
494.662, 147.311
373.92, 127.343
497.537, 146.234
371.916, 113.229
502.739, 140.928
376.722, 120.94
505.598, 140.271
375.785, 109.315
504.829, 146.087
382.153, 123.456
509.145, 142.98
384.853, 124.956
510.899, 144.365
385.176, 116.567
510.339, 149.561
