x,y
248.9, 197.137
251.095, 182.067
253.199, 194.66
255.241, 196.63
257.34, 207.17
259.439, 192.442
261.641, 201.353
263.727, 167.786
265.779, 214.8
267.879, 177.76
270.074, 183.55
272.165, 164.953
274.219, 168.821
276.318, 172.507
278.51, 176.52
280.609, 174.89
282.658, 170.173
284.757, 166.199
286.947, 169.619
289.046, 168.679
291.098, 168.721
293.197, 168.783
295.38, 154.55
297.481, 158.984
299.537, 161.591
301.636, 156.926
303.736, 153.243
305.918, 151.224
307.977, 152.199
310.076, 144.78
312.175, 148.424
314.353, 141.5
316.453, 142
318.515, 137.196
320.615, 132.716
322.792, 138.945
324.888, 132.444
326.955, 130.119
329.054, 128.115
331.226, 125.312
333.325, 125.553
335.394, 129.315
337.494, 131.778
339.671, 138.832
341.773, 147.188
343.834, 158.082
345.933, 158.579
348.124, 174.429
350.228, 184.148
352.273, 177.487
354.372, 173.482
356.472, 167.603
358.682, 219.998
362.812, 185.727
276.413, 149.593
287.427, 142.914
295.784, 136.561
295.936, 138.508
301.84, 134.833
311.724, 127.041
305.486, 135.296
316.829, 126.053
300.555, 144.425
295.54, 151.684
312.724, 136.586
295.756, 155.563
310.119, 149.638
